model,n_clients,comm_cost,target_dataset,accuracy,precision,recall,f1_score,frequency_true,frequency_pred
fedlr,80,0.1,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,80,0.1,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,90,0.0,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,90,0.0,huga,0.77,0.7894736842105263,0.8955223880597015,0.8391608391608392,0.67,0.76
fedlr,90,0.0,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,90,0.0,spambase,0.88,0.8970588235294118,0.9242424242424242,0.9104477611940298,0.66,0.68
fedlr,90,0.0125,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,90,0.0125,huga,0.72,0.4444444444444444,0.3076923076923077,0.36363636363636365,0.26,0.18
fedlr,90,0.0125,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,90,0.0125,spambase,0.92,0.0,0.0,0.0,0.08,0.0
fedlr,90,0.025,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,90,0.025,huga,0.95,0.0,0.0,0.0,0.05,0.0
fedlr,90,0.025,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,90,0.025,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,90,0.05,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,90,0.05,huga,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,90,0.05,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,90,0.05,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,90,0.1,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,90,0.1,huga,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,90,0.1,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,90,0.1,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,100,0.0,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,100,0.0,huga,0.76,0.8311688311688312,0.8533333333333334,0.8421052631578947,0.75,0.77
fedlr,100,0.0,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,100,0.0,spambase,0.8,0.675,0.7941176470588235,0.7297297297297297,0.34,0.4
fedlr,100,0.0125,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,100,0.0125,huga,0.67,0.5,0.09090909090909091,0.15384615384615385,0.33,0.06
fedlr,100,0.0125,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,100,0.0125,spambase,0.99,0.0,0.0,0.0,0.01,0.0
fedlr,100,0.025,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,100,0.025,huga,0.94,0.0,0.0,0.0,0.06,0.0
fedlr,100,0.025,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,100,0.025,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,100,0.05,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,100,0.05,huga,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,100,0.05,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,100,0.05,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,100,0.1,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,100,0.1,huga,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,100,0.1,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,100,0.1,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,10,0.0,adult,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,10,0.0,huga,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,10,0.0,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,10,0.0,spambase,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,10,0.0125,adult,0.81,0.8695652173913043,0.9195402298850575,0.8938547486033519,0.87,0.92
fedfor,10,0.0125,huga,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,10,0.0125,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,10,0.0125,spambase,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,10,0.025,adult,0.85,1.0,0.11764705882352941,0.21052631578947367,0.17,0.02
fedfor,10,0.025,huga,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,10,0.025,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,10,0.025,spambase,0.91,0.9072164948453608,1.0,0.9513513513513514,0.88,0.97
fedfor,10,0.05,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,10,0.05,huga,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,10,0.05,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,10,0.05,spambase,0.86,0.0,0.0,0.0,0.14,0.0
fedfor,10,0.1,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,10,0.1,huga,0.76,0.8026315789473685,0.8714285714285714,0.8356164383561644,0.7,0.76
fedfor,10,0.1,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,10,0.1,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,20,0.0,adult,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,20,0.0,huga,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,20,0.0,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,20,0.0,spambase,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,20,0.0125,adult,0.89,0.8969072164948454,0.9886363636363636,0.9405405405405406,0.88,0.97
fedfor,20,0.0125,huga,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,20,0.0125,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,20,0.0125,spambase,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,20,0.025,adult,0.83,0.8333333333333334,0.23809523809523808,0.37037037037037035,0.21,0.06
fedfor,20,0.025,huga,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,20,0.025,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,20,0.025,spambase,0.98,0.98,1.0,0.98989898989899,0.98,1.0
fedfor,20,0.05,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,20,0.05,huga,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,20,0.05,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,20,0.05,spambase,0.77,0.65,0.4482758620689655,0.5306122448979592,0.29,0.2
fedfor,20,0.1,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,20,0.1,huga,0.94,0.94,1.0,0.9690721649484536,0.94,1.0
fedfor,20,0.1,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,20,0.1,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,30,0.0,adult,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,30,0.0,huga,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,30,0.0,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,30,0.0,spambase,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,30,0.0125,adult,0.92,0.9183673469387755,1.0,0.9574468085106383,0.9,0.98
fedfor,30,0.0125,huga,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,30,0.0125,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,30,0.0125,spambase,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,30,0.025,adult,0.8,0.5,0.25,0.3333333333333333,0.2,0.1
fedfor,30,0.025,huga,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,30,0.025,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,30,0.025,spambase,0.98,0.98,1.0,0.98989898989899,0.98,1.0
fedfor,30,0.05,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,30,0.05,huga,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,30,0.05,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,30,0.05,spambase,0.71,0.7241379310344828,0.5,0.5915492957746479,0.42,0.29
fedfor,30,0.1,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,30,0.1,huga,0.99,0.99,1.0,0.9949748743718593,0.99,1.0
fedfor,30,0.1,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,30,0.1,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,40,0.0,adult,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,40,0.0,huga,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,40,0.0,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,40,0.0,spambase,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,40,0.0125,adult,0.87,0.9010989010989011,0.9534883720930233,0.9265536723163842,0.86,0.91
fedfor,40,0.0125,huga,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,40,0.0125,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,40,0.0125,spambase,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,40,0.025,adult,0.87,0.75,0.2,0.3157894736842105,0.15,0.04
fedfor,40,0.025,huga,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,40,0.025,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,40,0.025,spambase,0.97,0.97,1.0,0.9847715736040609,0.97,1.0
fedfor,40,0.05,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,40,0.05,huga,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,40,0.05,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,40,0.05,spambase,0.78,0.7575757575757576,0.6410256410256411,0.6944444444444444,0.39,0.33
fedfor,40,0.1,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,40,0.1,huga,0.91,0.9191919191919192,0.9891304347826086,0.9528795811518325,0.92,0.99
fedfor,40,0.1,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,40,0.1,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,50,0.0,adult,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,50,0.0,huga,1.0,1.0,1.0,1.0,1.0,1.0
